m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,k
256,641641,1.29,100.95,3998,8K Another,283841,96,4.24,3357,69319,400572,8
0,245086,1.29,216.02,1621,LV.31,90270,114,4.7,21601,84633,384831,7
0,2904501,1.29,142.83,2988,Insane,1408692,134,4.25,2567,13701,455929,5
0,3416953,1.29,68.37,5582,Reina x by-ad's Hard,1651869,89,2.97,2052,9235,460409,4
0,2680834,1.29,81.64,5075,No more regrets,1291579,232,3.52,5118,22544,447146,
0,3613647,1.29,79.57,5075,Impossible,1765365,123,4.01,6482,9263,460424,
0,1031991,1.29,111.44,3710,Kyouaku,461744,473,5,102241,57591,412092,
256,2640990,1.29,84.52,4716,Poke's Insane,1008060,236,4.22,25264,19536,450097,4
0,140937,1.29,73.82,5648,108,44967,126,3.37,67816,96575,373467,
0,2161310,1.29,61.53,5246,Resonance,1033701,341,3.07,1080,32194,437460,
0,2206544,1.29,78.36,5440,Collapse,1055780,228,3.81,6498,31066,438576,
0,3801212,1.29,64.45,5246,Skymin's Insane,1849271,186,3.05,2401,7068,462464,
0,2768567,1.29,60.45,5246,Kuse's Expert,1217474,225,3.35,13417,18334,451309,
0,3160790,1.29,64.2,5246,SkyFlame's Affection,1153303,230,3.01,5870,16697,452936,
0,3359370,1.29,70.16,5648,Yudragen's Expert,1504828,215,4.31,6506,13873,455814,
0,271370,1.29,49.39,541,Insane,102803,95,2.86,145447,87374,382106,
64,3895946,1.29,71.56,5648,[[[[h[]a[][r][[d,1860586,166,2.77,4399,2662,467030,4
0,557963,1.29,46.53,541,wkyik's Insane,83560,162,2.87,758426,73015,396618,
0,3798812,1.29,57.97,4142,wafer's Insane,1849267,156,3.12,6546,6818,462829,
0,87206,1.29,51.34,1950,Tritium,25557,180,2.44,113932,109020,360598,
0,3536403,1.29,59.9,5246,Satellite's Insane,1636657,222,2.98,8445,10268,459424,
0,3182347,1.29,55.03,4142,Hanori's Extra,1550327,118,3.45,15177,13968,455706,
0,2338619,1.29,52.44,1950,Mimari's Transform,1119418,58,2.85,41796,28250,441528,
64,830448,1.28,923.98,8,Euphoria,379365,351,6.47,23702,59626,410024,7
0,3508742,1.28,444.14,202,Lights,1717042,362,6.63,696,5771,463877,6
0,1774662,1.28,253.55,1065,-Mystic's MAXIMUM,845859,117,4.96,17874,32620,437025,4
0,1940816,1.28,174.89,2331,MAXIMUM,929247,113,4.41,5134,15735,453917,4
256,3082924,1.28,198.11,2053,Rapture,1502322,131,5.69,12164,13693,455940,4
256,2217170,1.28,253.96,1065,Brilliance,1058621,130,6.48,6804,31736,437916,7
0,1835991,1.28,95.94,4181,Euphonium,877844,88,3.57,15507,38720,430951,4
64,1973385,1.28,116.7,3699,Murumo's Hard,913114,161,2.64,103095,35896,433750,4
0,3563176,1.28,71.85,5648,Another,1742951,124,3.62,4953,7115,462541,7
0,1063557,1.28,150.13,2793,4K Maximum Genestella,499781,83,4.19,37476,55196,414443,4
0,2875654,1.28,84.59,4716,Hard,1392416,257,3.32,18634,19831,449842,4
64,911887,1.28,138.88,3009,Hard,421341,214,3.1,38991,58787,410846,4
256,1955359,1.28,114.42,3710,Blocko's Another,910843,123,5.13,12213,33855,435810,7
64,2067473,1.28,106.74,3842,Cellina x Satellite's Bittersweet Memories,947162,299,3.23,50886,35217,434461,
0,1703185,1.28,73.5,5648,Hard,812008,226,3.09,28314,40008,429649,4
0,3053742,1.28,73.74,5648,Vieni!,1486643,245,3.24,9393,17694,451961,
0,1706958,1.28,82.1,5075,Land of Illusion,813890,342,3.63,3897,43299,426485,
0,1368483,1.28,84.63,4716,Achsan's 4K Home,639660,83,3.47,15183,42270,427406,4
0,3555618,1.28,73.32,5648,Hard,1736855,176,3.06,2794,10596,459036,4
0,473697,1.28,62.96,5246,Insane,199719,93,3.13,74424,73445,396188,
0,2087482,1.28,50.56,1950,Em0nky and friends: Collab Hard,837869,180,2.73,67158,34659,434861,
0,290581,1.28,56.63,4142,Insane,111760,164,2.89,721372,86289,383176,
0,2596847,1.28,60.29,5246,Nathan's Extra,1158494,192,3.27,16889,22376,447326,
0,157861,1.28,62.05,5246,108,51245,167,2.83,175075,97258,372207,
64,64780,1.28,64.49,5246,Guest Diff Collab,18260,196,2.79,372917,113791,355683,
0,971528,1.28,52.52,1950,Purgatory,452965,339,2.72,100896,61809,407861,
0,1476592,1.28,58.12,4142,Asfand's Extra,346218,228,2.86,16173,41214,428303,
0,1801873,1.28,57.55,4142,King,861289,89,2.7,140337,41713,428157,
0,291393,1.28,51.66,1950,Hard,108820,183,2.68,33188,82965,386674,
0,3274116,1.28,63.92,5246,kotachi's Extra!,1603293,225,3.22,3237,15221,454438,
0,2611562,1.28,54.01,1950,Stargazer,1256770,266,2.88,9823,18833,450804,
64,4098209,1.27,257.83,932,Ai no Uso,1974438,88,3.81,17069,2355,467292,4
64,2884975,1.27,420.36,236,Ganbare!,1398110,89,4.6,28436,19881,449690,4
64,835098,1.27,210.02,1664,LeiN-'s Overcute,365534,55,3.44,157882,62389,407396,4
256,3372264,1.27,158.82,2704,0pp0s1t10n,1646845,373,6.07,8965,13808,455826,4
0,3903281,1.27,169.87,2452,Determination Beyond Imagination,1894128,88,4.62,1393,5185,464448,4
256,2935411,1.27,154.43,2793,LUNATIC,1419506,150,5.69,8534,7315,462339,4
0,3657437,1.27,124.98,3373,Ashen Chevalier,1785619,137,4.11,1433,6414,463219,4
64,1030300,1.27,99.64,3998,HD,482869,90,2.91,132283,57897,411740,4
0,603389,1.27,81.7,5075,ADVANCED,264749,119,3.31,63798,73200,396432,4
0,1863228,1.27,74.19,5648,Extra,891338,141,3.34,37917,40365,429317,
0,76419,1.27,62.71,5246,Lunatic,22115,201,2.94,25411,98891,370574,
0,953445,1.27,48.54,541,Lv. 14,443637,154,2.5,22497,59408,410281,4
0,2869257,1.27,50.18,1950,Past,1381405,153,2.58,10426,3368,466280,4
0,999944,1.27,55.34,4142,Lost,467337,184,2.89,173832,59814,409851,
0,121331,1.27,56.64,4142,Insane!?,36198,199,2.67,26277,99239,370225,
0,2473923,1.27,53.89,1950,Depperinoo's Expert,1182767,209,2.69,13003,25999,450999,
0,656386,1.27,56.55,4142,Lunatic,291517,238,2.89,89089,70461,399172,
0,1552276,1.27,51.98,1950,BoatKrab's Hard,735319,80,2.42,38673,46659,424388,
0,2844869,1.27,52.91,1950,Dependence,1376431,332,2.65,17119,20233,449449,
64,1128526,1.26,315.11,528,WhiteCS vs. BlackFC Vermilion Lv.15,532594,114,4.45,60333,57393,412274,4
0,1554212,1.26,114,3710,Capsanother,725078,123,3.94,10476,46355,423303,7
64,1516349,1.26,147.02,2840,Hard,717834,48,3.02,202671,45974,423634,4
0,706214,1.26,110.85,3710,The Heavens Fall,316961,85,3.75,1237,54151,415482,8
0,3247812,1.26,162.58,2651,Incurable illness,1590114,148,4.34,2623,7547,462046,4
0,4111030,1.26,108.66,3842,Ai wa Uso,1979887,91,3.65,2610,1298,468341,4
0,3768974,1.26,188.64,2137,Extra * Stage,1835785,243,4.55,710,4597,465039,4
0,257793,1.26,59.81,5246,Extra,96103,125,3.87,119409,88199,381275,
0,911652,1.26,155.67,2704,MX,421518,101,4.19,8881,62333,407323,4
256,1863987,1.26,109.4,3842,Expert,703670,222,4.86,29358,35166,434468,4
64,3655894,1.26,130.76,3264,Hard,1784978,135,2.94,5772,5519,464115,4
0,2146334,1.26,95.34,4181,lucent,1026319,239,3.74,6651,32450,437191,4
256,1124015,1.26,81.96,5075,Snowy Scene,530201,97,4.41,42052,54430,415203,4
0,120030,1.26,72.35,5648,Overdrive!!,37292,307,3.23,141334,98100,371968,
64,3471148,1.26,73.83,5648,Normal,1698761,127,2.41,13526,11345,458306,4
0,3240136,1.26,65.3,5582,I want to feel your heart right now,1586364,289,3.14,2141,15635,454019,
0,1939534,1.26,62.53,5246,Beginning,928593,304,2.88,12690,38521,431135,
0,1741093,1.26,57.92,4142,Lasse's Extra,830537,254,2.72,86715,42922,426715,
256,1596135,1.26,62.53,5246,Tofu's MX,591442,244,3.99,29529,45776,423885,4
0,657509,1.26,52.14,1950,Extra,292077,248,2.85,136384,68495,401208,
0,692241,1.26,56.53,4142,INSANE,107747,193,2.94,131281,70179,399501,
0,1913605,1.26,54.61,4142,Net0's Extreme,916277,115,2.86,15255,39317,430321,
0,2399798,1.26,47.1,541,4K Hard,1142802,201,2.44,18069,25213,444421,4
0,2339801,1.26,48.67,541,Riana's Another,1119418,58,2.93,72711,28250,441528,
64,2848186,1.25,981.78,2,Cosmic Trance,1378280,695,6.94,1005,11034,458608,7
64,2069131,1.25,248.65,1161,mint's Hard,919633,246,3.61,109971,34433,435109,4
0,2217502,1.25,98.71,4181,Another,1058797,88,3.54,21546,30496,439145,4
64,1172718,1.25,284.22,753,Another,553860,118,3.76,40405,55162,414477,4
64,1783632,1.25,206.6,1769,Time and Sky in a Distant World,690530,96,3.43,74358,42081,427491,4
64,3583022,1.25,238.58,1281,STEPDWI's Hyper,1751372,111,3.44,9742,2448,467185,4
0,1551638,1.25,108.54,3842,MANIAK,734972,142,3.69,22428,43106,426534,4
0,1527737,1.25,76.08,5440,break out,723633,205,3.44,52884,45560,424063,4
256,1912526,1.25,194.89,2053,Music Virus,915764,263,6.07,25941,16332,453317,4
0,3927308,1.25,123.27,3374,Champion,1904641,104,3.92,1607,4056,465584,4
256,2514621,1.25,60.86,5246,Insane,1207300,87,3.96,37487,25719,443957,4
64,1486987,1.25,112.92,3710,4K Hard,702775,88,3.01,12526,11623,458028,4
0,2107577,1.25,80.05,5075,Decimation,1006793,86,3.99,36315,28801,440832,
0,1706017,1.25,66.1,5582,Happy Heart Life,813454,87,3.72,20691,43710,425953,
0,328346,1.25,109.97,3710,Lunatic,129618,86,3.98,13594,83625,386275,7
0,2453659,1.25,92.53,4345,Sin,1176404,315,4.35,4644,27177,442469,
0,960065,1.25,75.58,5440,toybot's Insane,432589,94,3.46,16535,7518,462115,
0,3687359,1.25,73.7,5648,Hyper // Extermination,1798752,265,3.09,2080,5543,464103,4
0,3987712,1.25,84.75,4716,GungunK's Hard,1930425,277,3.56,1139,446,469257,4
0,3457180,1.25,68.83,5582,Say you'd love me too,1691885,264,3.01,4361,9729,459905,4
0,3808276,1.25,77.44,5440,Lunicia Design Collab Expert,1853363,145,3.47,1012,3244,466500,
256,1207645,1.25,73.06,5648,7K Expert,569665,87,3.91,18910,54474,415159,7
0,2815715,1.25,71.72,5648,Aakki's Extra,1303762,85,3.24,3323,16918,452734,
0,1165105,1.25,67.81,5582,Extra,547504,172,3.02,63594,47057,422596,
0,1544643,1.25,73.4,5648,Desire,702111,310,3.52,42966,46856,422803,
0,367646,1.25,62.52,5246,7K LV.20,148702,88,3.08,37620,79392,390244,7
0,1030059,1.25,52.04,1950,wkyik's Insane,437113,325,2.73,29374,61110,408526,
0,2279607,1.25,55.61,4142,"My turn, draw!!!!!!",1090501,205,3.24,2331,28774,441820,
0,661705,1.25,58.62,4142,P A N's Extra,292077,251,2.85,256586,68495,401208,
0,2234034,1.25,60.39,5246,mint's Another,1013400,111,3.04,37530,31888,437820,4
0,149388,1.25,55.75,4142,Insane,48284,277,2.64,259180,96851,372646,
0,88674,1.25,48.47,541,Hard,24918,124,2.48,87491,106560,362905,
0,1944926,1.25,52.95,1950,Prismatic,931452,125,2.79,298971,37379,432211,
0,728493,1.25,45.1,541,Advanced,324990,138,2.45,12115,68551,401335,
0,1421481,1.24,296.3,646,Orchid,672440,168,5.53,3501,36474,433213,7
0,1045859,1.24,233.82,1407,Checkmate [MX],490717,312,4.78,8657,56618,413026,4
0,418263,1.24,182.12,2278,Dream World,173078,374,4.74,650,53749,415915,8
0,3072831,1.24,133.94,3264,Expert,1274776,255,5.05,8402,15881,453796,
0,3170034,1.24,180.05,2278,Daybreak,1551290,150,4.56,1774,6454,463180,4
64,709437,1.24,82.4,5075,Hard,243364,88,2.6,111907,66441,403269,4
0,21329,1.24,73.57,5648,Insane,3254,93,3.3,3275,127707,341886,
0,944717,1.24,65.26,5582,Gxy's Insane,430339,238,3.33,8524,62337,407311,
0,3404135,1.24,66.83,5582,Kowari's Extra,1633506,252,3.15,6168,13012,456692,
0,1586945,1.24,56.94,4142,Mordred's Extra,738656,98,2.9,17451,43868,425796,
64,2954536,1.24,65.01,5582,Hard,1274865,107,2.24,9019,18953,450668,4
256,2810330,1.24,64.14,5246,KASHIMA,1357994,115,3.8,36229,21498,448136,4
256,1657720,1.24,74.39,5648,Falling Tears,789926,303,4.11,28899,34890,434613,4
0,1418133,1.24,53.71,1950,Colorful,670560,212,2.92,22221,47118,422603,
0,113776,1.24,49.27,541,God,35036,458,2.79,57726,103473,366098,
0,3928577,1.24,57.94,4142,Mommy Sucks,1905234,153,2.63,24161,4496,465093,
0,101901,1.24,51.29,1950,Insane,30933,91,2.71,70276,105118,364347,
0,33967,1.24,50.11,1950,Hard,8198,187,2.49,19173,120522,348963,
0,2259998,1.23,379.63,358,Class-ic EX // Cocoa's 7K,1072867,402,6.18,1001,9732,459901,7
0,3116123,1.23,238.28,1281,Extra,1508963,123,5.2,4206,15140,454516,7
256,3935369,1.23,320.05,531,After Ragnarok // 4K,1908304,552,7.23,3950,3784,465849,4
64,899045,1.23,284.15,753,Another,311458,146,3.92,66451,60737,408896,4
64,3613446,1.23,313.33,569,Hydria's Crimson Blood Demon,1713396,85,4.14,5555,3542,466091,4
0,142462,1.23,57.33,4142,Insane,45664,184,2.93,27006,99304,370161,
0,91913,1.23,229.16,1448,AngelHoney,23437,97,4.81,28514,107825,361640,
0,2391315,1.23,107.1,3842,insane,1145368,102,3.79,7336,25034,444581,4
64,674175,1.23,138.76,3009,ADVANCED,300599,115,3.16,230068,68964,400804,4
0,2380608,1.23,84.21,5075,Shizuku's Extra,1061614,220,3.89,2106,26839,442820,
0,3233296,1.23,79.93,5075,Aistre's Extra,1561963,95,3.34,1844,13576,456159,
0,1084067,1.23,50.05,1950,KK's 7K Hard,480963,89,2.72,21969,49282,420350,7
0,3394925,1.23,66.27,5582,Yogurtt's Isekai Extra,1658721,212,2.9,2808,13518,456203,
0,1718671,1.23,65.82,5582,Expert,818778,92,3.64,92934,43320,426328,
0,942561,1.23,59.01,4142,Yogurtt's Extra,420390,231,2.87,44829,62193,407440,
0,1401891,1.23,54.89,4142,wkyik's Expert,635110,87,2.96,3609,51393,418275,
0,3407350,1.23,65.25,5582,lince's extra,1668038,114,3.89,2284,11029,458520,
64,2665565,1.22,346.37,433,Coffin,1283536,128,4.45,13123,9084,460548,4
0,3302487,1.22,168.27,2552,Insane,1617344,150,4.67,2309,13835,455799,7
0,3666420,1.22,170.66,2452,VYZEE,1789354,108,4.4,1337,8057,461754,4
0,2391939,1.22,69.2,5582,Madoka's Hard,1143243,221,2.96,20871,26771,442863,4
0,3251619,1.22,197.03,2053,Call 7983 for jacks,1592035,241,4.66,5070,13812,455800,4
0,2153771,1.22,64.05,5246,Atalanta's Extra,885158,232,4.38,25128,34089,435602,
64,3973406,1.22,149.35,2840,Su8's Ultra,1921040,160,3.21,6224,2049,467585,4
64,3435553,1.22,112.13,3710,Nathalia's HARD,1681655,120,2.96,12901,9126,460526,4
0,4086378,1.22,87.55,4716,Rivals' Hyper,1969686,108,3.27,889,1343,468292,4
64,953445,1.22,79.26,5440,Lv. 14,443637,154,2.5,22497,59408,410281,4
0,2193364,1.22,73.99,5648,I don't wanna be adult >...<,1049418,235,3.07,5683,18584,451051,
0,2034841,1.22,66.23,5582,Delis' Extra,971896,176,2.89,11484,35253,434406,
256,1048201,1.22,63.38,5246,Zan's EXHAUST,491454,120,3.88,120795,60017,409675,4
0,3285115,1.22,58.64,4142,Collab Insane,1553417,269,3.33,6286,12346,457391,
0,889177,1.22,53.47,1950,Z,409649,198,3.04,23115,65158,404475,
0,1570203,1.22,49.81,1950,Determination,744772,86,2.78,465480,37133,432500,
64,716208,1.22,52.56,1950,NM+,321428,56,2.05,62920,68390,401340,4
0,2534079,1.21,346.91,433,Healthy,1217976,116,6.1,3836,22457,447176,7
0,477041,1.21,238.69,1281,CrossOver,201476,323,5.06,12328,74312,395321,7
64,1482800,1.21,308.83,620,Ash's Special,699794,89,3.92,88677,41374,428283,4
0,3355824,1.21,302.83,625,destwuction uwu,1644032,254,5.56,2017,5501,464118,4
0,2895378,1.21,209.23,1769,Expert,1305249,264,4.59,3854,11148,458349,4
64,720562,1.21,168.12,2552,Starry's 4K Lv.15,324288,110,3.12,696689,68125,401640,4
256,3392371,1.21,230.27,1407,Punishment,1661762,243,6.34,10203,9420,460093,4
0,1686240,1.21,63.93,5246,Hyper,803018,147,2.98,32994,38009,436036,4
0,2360532,1.21,63.66,5246,Day,1130014,195,3,26261,24823,444812,
0,2890370,1.21,63.51,5246,"All that you've left behind, has become my everything",1401056,195,4.53,2001,13022,456681,
256,3024863,1.21,105.95,3842,Final Step Towards The Dream,1276332,130,4.73,26129,18083,451607,4
0,3280820,1.21,92.42,4345,Sakura Blossom,1606712,212,4.33,4609,14008,455710,
256,947778,1.21,78.81,5440,Quarter [MX],440508,172,4.3,76230,57701,411932,4
0,3256946,1.21,73.03,5648,Maiden Voyage,1594556,196,3.31,16819,15274,454359,
0,935402,1.21,77.24,5440,Insane,410530,479,3.54,8838,62911,406745,
0,2586467,1.21,53.3,1950,PikA's Insane,1244123,107,2.58,103425,25418,444272,
0,3868386,1.21,60.7,5246,fruit punch,1879059,234,2.93,2682,5260,464397,
0,1100480,1.21,60.99,5246,Hard,517979,90,2.81,34885,59433,410244,4
0,679779,1.21,61,5246,captin's Extra,292077,246,2.8,105476,68495,401208,
0,2586211,1.21,57.42,4142,Wish,1244105,225,2.92,6594,25456,444229,
0,1645698,1.21,52.65,1950,Nevo's Expert,781509,85,2.78,474858,43947,425590,
0,2980394,1.21,54.27,1950,Message,1449568,108,2.97,4954,16461,453180,
64,1613680,1.21,53.43,1950,Normal,767264,88,2.01,27054,29956,439687,4
0,3368235,1.21,51.52,1950,Moonlight,1650246,195,2.97,7014,13056,456657,
0,677545,1.21,48.58,541,Shana's HD,153853,84,2.61,40599,68059,401656,4
256,3980140,1.2,293.67,694,Relentless,1927406,304,7.46,1005,2409,467225,7
0,2601016,1.2,267.53,868,For The Rivers,1251408,192,5.2,6144,14904,454608,4
0,3072232,1.2,127.26,3373,Bittersweet Love,1499093,102,4.13,1453,12293,457339,5
0,1769689,1.2,230.8,1407,4K Wrath,845135,146,4.78,14616,33273,436362,4
64,649478,1.2,274.98,793,5K Another,283841,96,3.83,23082,69319,400572,5
0,2183218,1.2,218.17,1621,Blocko's Another,849389,135,5.16,357,6183,463455,7
0,3058374,1.2,202.46,1854,Deus Ex Machina,1492017,117,4.63,6994,13035,456541,4
0,3021302,1.2,115.95,3699,Kairos,1359603,278,3.95,3597,18832,450682,4
0,3683963,1.2,122.17,3374,V1do's Affection,1773264,107,4.1,1583,4006,465651,4
256,3938189,1.2,143.49,2988,THREE DiMENSiONS / Lami's Extra,1908399,254,5.42,1029,1384,468267,4
0,1491209,1.2,53.95,1950,Doormat's Extra,695316,126,2.66,39996,48951,420695,
0,368048,1.2,87.56,4716,7K MX,148760,84,3.39,23304,81722,387910,7
0,1185036,1.2,71.03,5648,Regret,560389,173,3.41,30892,54153,415544,
0,2945757,1.2,83.86,5075,sec's Insane,1423986,89,3.4,10034,15893,454347,4
0,2665566,1.2,84.48,5075,Rhezie's Advanced,1283536,128,3.32,9077,9084,460548,4
0,2359453,1.2,76.05,5440,Lasse's Expert,801337,191,3.31,3402,24993,444702,
0,2487446,1.2,70.7,5648,SSS,1193914,189,3.29,2299,6660,462977,4
0,3579698,1.2,83.48,5075,Paran's Blue Archive,1585962,135,3.45,1915,2012,468081,4
256,2942802,1.2,69.74,5648,Div's Eternity,1429483,140,4.23,17867,17875,451729,4
0,2462759,1.2,74.73,5440,Anxiety,1181163,337,3.54,2380,24248,445419,
0,3156724,1.2,69.76,5648,Severed and Screaming,1298401,337,3.64,1584,16611,453030,
0,3239199,1.2,63.44,5246,too's Insane,1544600,227,3.32,5812,9196,460439,
0,98615,1.2,53.46,1950,Extreme,29769,162,2.94,57638,102660,366804,
0,2859961,1.2,62.65,5246,Ram's Expert!,1234080,208,2.79,21470,20270,449376,
0,2473627,1.2,55.71,4142,Cloudless,1186908,188,3.18,5551,24041,445627,
0,2683901,1.2,54.41,1950,Expert,1292748,61,2.86,20149,23564,446132,
0,3782325,1.2,56.99,4142,kowari's insane,1812260,251,3.01,7911,6996,462649,
0,135658,1.2,50.17,1950,Jenny's Hard,32156,145,2.6,22560,97735,371734,
0,1483099,1.2,49.58,1950,Blissful Love,700540,304,2.66,17046,48987,420663,
0,974969,1.19,478.92,159,torrent,454793,238,6.71,1917,38397,431238,7
0,2624413,1.19,359.85,389,Dissonance,939798,234,5.97,5330,21666,447967,4
0,2147648,1.19,287.74,730,mint's Daze // 4K,1023425,320,5.33,3474,33235,436412,4
0,3031881,1.19,186.15,2137,YABAI,1477789,129,5.02,5868,12983,456652,4
0,1267936,1.19,178.02,2331,Another,599978,125,4.45,17289,46380,423253,4
0,3887497,1.19,179.75,2278,Snowing,1887777,195,4.35,547,398,469239,4
0,3593330,1.19,183.89,2278,Murumoo's Magical Dream,1721103,122,4.53,5495,10644,458989,4
0,2222812,1.19,81.28,5075,HYPER,1057963,93,3.54,3802,22510,447124,7
0,431993,1.19,178.81,2331,5K Insane,171880,377,4.57,2566,66464,403217,5
0,2633518,1.19,87.59,4716,FAMoss' Insane,1265840,144,3.48,14689,18184,451449,4
64,2404455,1.19,124.53,3373,Hard,866848,87,3.03,44010,27467,442228,4
0,638907,1.19,102.38,3998,Momo's MX,266129,89,3.7,23171,68809,400849,4
0,3291179,1.19,82.5,5075,X,1611987,213,4.22,6319,11093,458546,
0,1585398,1.19,99.62,3998,Scarlet Mist,753005,320,3.77,14121,46512,423121,
256,2572152,1.19,70.5,5648,Insane,808872,139,3.91,75107,24014,445844,4
0,2535967,1.19,57.67,4142,Collab Extra,1218852,230,3.33,38417,25384,444289,
256,2260043,1.19,80.41,5075,FAMoss' Insane,1078388,217,4.16,14806,18287,451359,4
0,2629392,1.19,65.4,5582,Hard,1265173,86,3.07,17658,22313,447423,4
0,225490,1.19,61.52,5246,Another,81051,107,3.41,30900,88810,380655,
64,3536413,1.19,76.44,5440,Normal,1725902,237,2.48,8793,8867,460660,4
0,2006294,1.19,68.43,5582,Hallownest's Protector,948021,163,3.32,8100,36703,432823,
0,432346,1.19,56.97,4142,Irrelvis' Extra,165693,168,3.1,44726,67430,402230,
0,2820696,1.19,59.69,5246,Hard,1363241,182,2.79,30063,19334,450177,4
0,831845,1.19,59.99,5246,Atsuro's S-Class,335864,253,2.94,47799,63772,406474,
0,2657558,1.19,55.7,4142,Okayu,1279298,229,3.26,35285,17798,451844,
0,1419398,1.19,64.77,5582,Insane,671293,77,2.84,24732,47377,422281,
256,3838917,1.19,82.23,5075,Power,1866317,327,4.64,3341,5059,464582,7
0,1186951,1.19,63.16,5246,Extreme: Hysteria,559928,128,3.65,13234,55155,414478,
64,2391316,1.19,62.94,5246,advanced,1145368,102,2.24,11968,25034,444581,4
0,679084,1.19,50.98,1950,A Mystery's Insane,302638,94,2.64,38818,72199,397480,
0,2293914,1.19,52.29,1950,Lost,1097858,239,3.18,1512,15658,454034,
64,2704397,1.19,74.65,5440,Insane,1304227,134,2.61,28462,16782,452861,
64,996296,1.18,420.8,236,GRAVITY,414856,106,4.96,165361,61965,407988,4
0,3832168,1.18,399.78,285,SPECTRAL,1863494,260,6.12,962,1395,468262,4
0,2272532,1.18,255.68,932,drown,1086739,549,5.07,2800,21562,448112,4
0,3574256,1.18,265.38,868,Terminator,1747426,358,5.16,4225,9942,459691,4
0,4021547,1.18,299.08,646,Beyond,1943992,148,5.8,1008,1676,467976,4
256,2566506,1.18,222.01,1568,Imaginary Theorem,1234605,375,6.59,4855,21901,447754,7
0,3312073,1.18,157.65,2704,them,1622189,105,4.15,5007,13312,456337,4
0,3674774,1.18,61.65,5246,Hard,1790685,138,2.8,4126,8700,460790,4
0,3132351,1.18,94.65,4181,Decku's EXHAUST,1477789,129,3.87,7459,12983,456652,4
0,4082787,1.18,155.14,2704,Black Another obj. FLeVI,1968445,118,4.34,1008,2111,467522,4
0,3880318,1.18,121.3,3374,Happy Ending,1884632,96,4.01,1004,2439,467210,4
64,2575882,1.18,66.18,5582,Paran's Normal,1227003,218,2.21,37772,22788,446894,4
0,1845630,1.18,66.44,5582,Hyper,882805,118,2.94,28872,38295,431363,4
0,2201298,1.18,77.71,5440,Delight,1053406,207,3.39,10341,31355,438554,
0,396105,1.18,78.54,5440,Insane,162371,156,3.47,32080,79857,390235,
0,3142373,1.18,76.65,5440,Girls' Little Conspiracy Club,1536879,303,3.36,5713,12739,456923,
0,600515,1.18,76.04,5440,Waiting,263275,301,3.48,14859,47674,421982,
0,1638680,1.18,85.82,4716,Petal,780122,312,3.62,5769,44705,424916,
0,1925706,1.18,64.85,5582,DelizeE's Terrarium,922144,272,3.15,10017,38891,430828,
0,1579923,1.18,60.6,5246,HW's Another,687511,90,3.17,24264,44461,425201,
0,1627629,1.18,53.95,1950,Kaifin's Insane,769917,142,2.68,27846,45331,424212,
0,3953692,1.18,60.86,5246,Expert,1916172,218,3.19,3263,4794,464846,
0,318074,1.18,51.93,1950,3i's ADVANCED Lv.10,124867,102,2.71,115373,83414,386228,4
0,660345,1.18,49.93,1950,Addiction,293581,316,3.08,81343,72580,397075,
0,3659448,1.17,270.5,879,Rejuvenation,1786427,310,5.36,1001,7867,461838,7
0,258212,1.17,210.09,1664,Another,94504,297,4.83,12521,82041,387591,7
0,3586709,1.17,278.93,793,[04:00 A.M.] Into the Night,1752717,117,5.49,1000,5069,464571,6
64,770841,1.17,112.49,3710,Hyper Lv.8,349561,118,2.96,154617,64935,407905,4
0,2559344,1.17,66.51,5582,4K Hard,1230306,87,2.93,9337,11528,458105,4
256,1850934,1.17,162.86,2651,Black Another,885596,141,5.59,24561,35101,434605,4
0,888279,1.17,155.86,2704,7K Heavy,409152,100,4.5,4833,47621,422032,7
0,3864889,1.17,175.26,2331,MirBluu's Harem King,1877657,86,4.33,1971,4075,465563,4
0,1086583,1.17,68.53,5582,Magic exists [HD],490717,312,3.05,33654,56618,413026,4
0,3377247,1.17,107.23,3842,4K EXPERT,1654622,100,3.78,2939,5074,464501,4
0,3745080,1.17,75.96,5440,Mono's Extreme,1817884,197,4.56,1005,5386,464106,
0,3209087,1.17,105.8,3842,Insane,1571607,88,4.2,507,1030,468606,7
0,1246144,1.17,76,5440,MX,588635,98,3.46,20916,50373,419284,4
0,2124108,1.17,76.3,5440,Who Are You?,1014945,257,3.71,15327,25777,443957,
0,909990,1.17,71.14,5648,Salsa,420677,216,3.18,20157,64545,405109,
0,3880270,1.17,70.23,5648,Expert,1884607,128,3.36,1004,2794,466840,7
0,3902811,1.17,67.24,5582,Extra,1893909,154,3.17,3625,3597,466172,
0,1363537,1.17,48.65,541,ExNeko's 4K Hard,639660,83,2.52,30006,42270,427406,4
0,2583616,1.17,63.98,5246,Seclusion,1242733,181,3.24,15899,24035,445688,
0,3150892,1.17,67.49,5582,Cleaning & Clearing,1541421,120,3.38,29261,15339,454163,
64,2353500,1.17,62.45,5246,Insane,1126358,256,2.24,31788,28900,440733,4
0,2450295,1.17,56.92,4142,Superior,1174754,238,2.99,28958,25947,443755,
0,795834,1.17,49.3,541,Cherry Blossom,362335,313,3.03,23360,68024,401686,
0,435991,1.17,50.01,1950,wendao's Insane,168662,228,2.64,114988,76903,392730,
0,133723,1.17,54.95,4142,Another,42527,110,2.78,153673,97435,372030,
0,37249,1.17,52.58,1950,Fly Away!!!,7662,72,2.67,21808,121377,346314,
